Порядковый номер,Район,Адрес,Количество видеокамер
1.248,Адмиралтейский район,"Гражданская улица, дом 17/8",1
1.249,Адмиралтейский район,"Гражданская улица, дом 26",1
1.250,Адмиралтейский район,"Гражданская улица, дом 28",1
1.251,Адмиралтейский район,"Гражданская улица, дом 7",2
1.252,Адмиралтейский район,"Гражданская улица, дом 8",2
1.253,Адмиралтейский район,"Гутуевский мост, опора освещения",4
1.254,Адмиралтейский район,Дворцовый мост,4
1.255,Адмиралтейский район,"Дворцовый мост, опора освещения",4
1.256,Адмиралтейский район,"Декабристов улица, дом 1-3",6
1.257,Адмиралтейский район,"Декабристов улица, дом 15",1
1.258,Адмиралтейский район,"Дерптский переулок, дом 15",3
1.259,Адмиралтейский район,"Дровяная улица, дом 6",6
1.260,Адмиралтейский район,"Дровяная улица, дом 7а",1
1.261,Адмиралтейский район,"Дровяной переулок, дом 5",4
1.262,Адмиралтейский район,"Дровяной переулок, дом 6",6
1.263,Адмиралтейский район,"Дровяной переулок, дом 7",6
1.264,Адмиралтейский район,Екатерингофский мост,1
1.265,Адмиралтейский район,"Ефимова улица, дом 4А",1
1.266,Адмиралтейский район,"Загородный проспект, дом 37/70",2
1.267,Адмиралтейский район,"Загородный проспект, дом 41-43",2
1.268,Адмиралтейский район,"Загородный проспект, дом 45",9
1.269,Адмиралтейский район,"Загородный проспект, дом 46, опора",3
1.270,Адмиралтейский район,"Загородный проспект, дом 47, литера Б",3
1.271,Адмиралтейский район,"Загородный проспект, дом 47, литера С, опора освещения",2
1.272,Адмиралтейский район,"Загородный проспект, дом 48",3
1.273,Адмиралтейский район,"Загородный проспект, дом 52",4
1.274,Адмиралтейский район,"Загородный проспект, дом 52, остановочный павильон общественного транспорта",8
1.275,Адмиралтейский район,"Загородный проспект, дом 52а",4
1.276,Адмиралтейский район,"Загородный проспект, дом 52а, остановочный павильон общественного транспорта",2
1.277,Адмиралтейский район,"Загородный проспект, дом 54",4
1.278,Адмиралтейский район,"Загородный проспект, дом 64",4
1.279,Адмиралтейский район,"Звенигородская улица, дом 3",4
1.280,Адмиралтейский район,"Измайловский проспект, дом 1",9
1.281,Адмиралтейский район,"Измайловский проспект, дом 10",3
1.282,Адмиралтейский район,"Измайловский проспект, дом 17 / 11-я Красноармейская ул",3
1.283,Адмиралтейский район,"Измайловский проспект, дом 24/161",3
1.284,Адмиралтейский район,"Измайловский проспект, дом 24/161, опора освещения",1
1.285,Адмиралтейский район,"Измайловский проспект, дом 2а, остановочный павильон общественного транспорта",2
1.286,Адмиралтейский район,"Измайловский проспект, дом 3",4
1.287,Адмиралтейский район,"Измайловский проспект, дом 31",3
1.288,Адмиралтейский район,"Измайловский проспект, дом 31, опора освещения",1
1.289,Адмиралтейский район,"Измайловский проспект, дом 4",3
1.290,Адмиралтейский район,"Измайловский проспект, дом 7",10
1.291,Адмиралтейский район,"Измайловский проспект, дом 7а",3
1.292,Адмиралтейский район,"Измайловский проспект, дом 9/2",1
1.293,Адмиралтейский район,"Исаакиевская площадь, дом 1, опора освещения",2
1.294,Адмиралтейский район,"Исаакиевская площадь, дом 4, опора",6
1.295,Адмиралтейский район,"Исаакиевская площадь, дом 4, опора освещения",2
1.296,Адмиралтейский район,"Исаакиевская площадь, дом 6",2
1.297,Адмиралтейский район,"Казанская улица, дом 17-19",2
1.298,Адмиралтейский район,"Казанская улица, дом 26/27",9
1.299,Адмиралтейский район,"Казанская улица, дом 27",1
1.300,Адмиралтейский район,"Казанская улица, дом 33/5",7
1.301,Адмиралтейский район,"Казанская улица, дом 34",1
1.302,Адмиралтейский район,"Казанская улица, дом 39",10
1.303,Адмиралтейский район,"Казанская улица, дом 40",3
1.304,Адмиралтейский район,"Казанская улица, дом 42",6
1.305,Адмиралтейский район,"Казанская улица, дом 43",6
1.306,Адмиралтейский район,"Казанская улица, дом 45",10
1.307,Адмиралтейский район,"Казанская улица, дом 46",2
1.308,Адмиралтейский район,"Казанская улица, дом 48",1
1.309,Адмиралтейский район,"Казанская улица, дом 56",2
1.310,Адмиралтейский район,"Казначейская улица, дом 13",6
1.311,Адмиралтейский район,"Казначейская улица, дом 4/16",3
1.312,Адмиралтейский район,"Казначейская улица, дом 5",4
1.313,Адмиралтейский район,"Канонерская улица, дом 12",3
1.314,Адмиралтейский район,"Канонерская улица, дом 27",6
1.315,Адмиралтейский район,"Канонерская улица, дом 29",5
1.316,Адмиралтейский район,"Канонерская улица, дом 33",1
1.317,Адмиралтейский район,"Канонерская улица, дом 6-8-10",9
1.318,Адмиралтейский район,"Климов переулок, дом 2а",13
1.319,Адмиралтейский район,"Климов переулок, дом 4",2
1.320,Адмиралтейский район,"Климов переулок, дом 9",7
1.321,Адмиралтейский район,"Клинский проспект, дом 8",2
1.322,Адмиралтейский район,"Конногвардейский бульвар, дом 11",9
1.323,Адмиралтейский район,"Конногвардейский бульвар, дом 4, остановочный павильон общественного транспорта",2
1.324,Адмиралтейский район,"Конногвардейский бульвар, дом 9",3
1.325,Адмиралтейский район,"Курляндская улица, дом 16-18",3
1.326,Адмиралтейский район,"Курляндская улица, дом 16-18, литера Б",4
1.327,Адмиралтейский район,"Курляндская улица, дом 16-18, литера В",5
1.328,Адмиралтейский район,"Курляндская улица, дом 19-21, литера Б",3
1.329,Адмиралтейский район,"Курляндская улица, дом 25",4
1.330,Адмиралтейский район,"Курляндская улица, дом 25, литера Г",3
1.331,Адмиралтейский район,"Курляндская улица, дом 25, литера Ж",2
1.332,Адмиралтейский район,"Курляндская улица, дом 25, литера З",2
1.333,Адмиралтейский район,"Курляндская улица, дом 28, опора освещения",1
1.334,Адмиралтейский район,"Курляндская улица, дом 29",12
1.335,Адмиралтейский район,"Курляндская улица, дом 29-31",1
1.336,Адмиралтейский район,"Курляндская улица, дом 32",1
1.337,Адмиралтейский район,"Курляндская улица, дом 36-38",7
1.338,Адмиралтейский район,"Курляндская улица, дом 39, литера В",22
1.339,Адмиралтейский район,"Лабутина улица, дом 36",2
1.340,Адмиралтейский район,"Лабутина улица, дом 8",2
1.341,Адмиралтейский район,"Лермонтовский проспект, дом 1/44",1
1.342,Адмиралтейский район,"Лермонтовский проспект, дом 10/53",1
